Name,From,Institution,Letter,Gender,Race,URM,Research,Status,security,Field,AMS Citations,Is Fields
susan friedlander,,university of southern california,B and C,woman,white,noturm,moreri,professor,moresecure,math,706,
yuri zarhin,Russia,pennsylvania state university,B and C,man,white,noturm,moreri,professor,moresecure,math,866,
leonid makar limanov,Russia,wayne state university,B and C,man,white,noturm,moreri,professor,moresecure,math,708,
alexei novikov,Russia,pennsylvania state university,B and C,man,white,noturm,moreri,professor,moresecure,math,227,
lewis bowen,,university of texas at austin,B and C,man,white,noturm,moreri,professor,moresecure,math,467,
ronald j stern,,university of california irvine,B and C,man,white,noturm,moreri,professor,moresecure,math,1703,
alexandre eremenko,Russia,purdue university,B and C,man,white,noturm,moreri,professor,moresecure,math,1594,
svetlana jitomirskaya,Russia,university of california irvine,B and C,woman,white,noturm,moreri,professor,moresecure,math,1240,
anton gorodetski,Russia,university of california irvine,B and C,man,white,noturm,moreri,professor,moresecure,math,403,
mark sapir,Russia,vanderbilt university,B and C,man,white,noturm,moreri,professor,moresecure,math,1495,
jeff cheeger,,courant institute new york university,B and C,man,white,noturm,moreri,professor,moresecure,math,5725,
john lott,,university of california berkeley,B and C,man,white,noturm,moreri,professor,moresecure,math,1843,
scott armstrong,,courant institute new york university,B and C,man,white,noturm,moreri,professor,moresecure,math,738,
misha gromov,Russia,new york university,B and C,man,white,noturm,moreri,professor,moresecure,math,12356,
robert bryant,,duke university,B and C,man,white,noturm,moreri,professor,moresecure,math,2339,
federico rodriguez hertz,,pennsylvania state university,B and C,man,latinx,urm,moreri,professor,moresecure,math,392,
michael saks,,rutgers university,B and C,man,white,noturm,moreri,professor,moresecure,math,1098,
misha lyubich,Russia,stony brook university,B and C,man,white,noturm,moreri,professor,moresecure,math,1729,
peter kuchment,,texas am university,B and C,man,white,noturm,moreri,professor,moresecure,math,2782,
ludmil zikatanov,Czech,pennsylvania state university,B and C,man,white,noturm,moreri,professor,moresecure,math,1126,
henri moscovici,Romania,ohio state university,B and C,man,white,noturm,moreri,professor,moresecure,math,1156,
panagiota daskalopoulos,Greece,columbia university,B and C,woman,white,noturm,moreri,professor,moresecure,math,613,
andrei okounkov,Russia,columbia university,B and C,man,white,noturm,moreri,professor,moresecure,math,3352,yes
alexandre chorin,,university of california berkeley,B and C,man,white,noturm,moreri,retired,moresecure,math,2512,
john morgan,,columbia university,B and C,man,white,noturm,moreri,retired,moresecure,math,3101,
david mumford,,harvard university,B and C,man,white,noturm,moreri,retired,moresecure,math,9741,yes
charles frohman,,university of iowa,B Only,man,white,noturm,moreri,professor,moresecure,math,337,
david eisenbud,,university of california berkeley,B Only,man,white,noturm,moreri,professor,moresecure,math,7253,
michael kapovich,Russia,university of california davis,B Only,man,white,noturm,moreri,professor,moresecure,math,1305,
bruno nachtergaele,,university of california davis,B Only,man,white,noturm,moreri,professor,moresecure,math,828,
mladen bestvina,Croatia,university of utah,B Only,man,white,noturm,moreri,professor,moresecure,math,2367,
laurence r taylor,,university of notre dame,B Only,man,white,noturm,moreri,professor,moresecure,math,543,
jozef h przytycki,Poland,george washington university,B Only,man,white,noturm,moreri,professor,moresecure,math,1429,
robert gompf,,university of texas at austin,B Only,man,white,noturm,moreri,professor,moresecure,math,1616,
theodore slaman,,university of california berkeley,B Only,man,white,noturm,moreri,professor,moresecure,math,1012,
j elisenda grigsby,,boston college,B Only,woman,white,noturm,moreri,professor,moresecure,math,159,
nicolai reshetikhin,Russia,university of california berkeley,B Only,man,white,noturm,moreri,professor,moresecure,math,3328,
william h meeks iii,,university of massachusetts amherst,B Only,man,white,noturm,moreri,professor,moresecure,math,1906,
robert ghrist,,university of pennsylvania,B Only,man,white,noturm,moreri,professor,moresecure,math,556,
david gabai,,princeton university,B Only,man,white,noturm,moreri,professor,moresecure,math,1895,
david auckly,,kansas state university,B Only,man,white,noturm,moreri,professor,moresecure,math,162,
daniel ruberman,,brandeis university,B Only,man,white,noturm,moreri,professor,moresecure,math,512,
lev rozansky,Russia,university of north carolina at chapel hill,B Only,man,white,noturm,moreri,professor,moresecure,math,871,
carolyn gordon,,dartmouth college,B Only,woman,white,noturm,moreri,professor,moresecure,math,999,
vadim zharnitsky,Russia,university of illinois,B Only,man,white,noturm,moreri,professor,moresecure,math,247,
adebisi agboola,,university of california santa barbara,B Only,man,black,urm,moreri,professor,moresecure,math,69,
alexander tumanov,Russia,university of illinois,B Only,man,white,noturm,moreri,professor,moresecure,math,476,
david a meyer,,university of california san diego,B Only,man,white,noturm,moreri,professor,moresecure,math,208,
daniel allcock,,university of texas at austin,B Only,man,white,noturm,moreri,professor,moresecure,math,407,
william jaco,,oklahoma state university,B Only,man,white,noturm,moreri,professor,moresecure,math,1273,
michael cranston,,university of california irvine,B Only,man,white,noturm,moreri,professor,moresecure,math,569,
masahico saito,Japan,university of south florida,B Only,man,asian,noturm,moreri,professor,moresecure,math,1371,
kenneth s alexander,,university of southern california,B Only,man,white,noturm,moreri,professor,moresecure,math,633,
dan abramovich,,brown university,B Only,man,white,noturm,moreri,professor,moresecure,math,1489,
hans wenzl,,university of california san diego,B Only,man,white,noturm,moreri,professor,moresecure,math,999,
stephen bigelow,,university of california santa barbara,B Only,man,white,noturm,moreri,professor,moresecure,math,312,
eduardo cattani,,university of massachusetts amherst,B Only,man,NA,NA,moreri,professor,moresecure,math,463,
richard arratia,,university of southern california,B Only,man,white,noturm,moreri,professor,moresecure,math,,
alexander kirillov jr,Russia,stony brook university,B Only,man,white,noturm,moreri,professor,moresecure,math,928,
philip l bowers,,florida state university,B Only,man,white,noturm,moreri,professor,moresecure,math,217,
chaim goodman strauss,,university of arkansas,B Only,man,white,noturm,moreri,professor,moresecure,math,125,
maksym radziwill,Poland,california institute of technology,B Only,man,white,noturm,moreri,professor,moresecure,math,193,
