Name,From,Institution,Letter,Gender,Race,URM,Research,Status,security,Field,AMS Citations,Is Fields
robert kohn,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,5254,
janos kollar,Hungary,princeton university,C Only,man,white,noturm,moreri,professor,moresecure,math,5941,
gregory lawler,,university of chicago,C Only,man,white,noturm,moreri,professor,moresecure,math,3002,
h blaine lawson,,stony brook university,C Only,man,white,noturm,moreri,professor,moresecure,math,4390,
claude lebrun,,stony brook university,C Only,man,white,noturm,moreri,professor,moresecure,math,1804,
camillo de lellis,,institute for advanced study,C Only,man,white,noturm,moreri,professor,moresecure,math,1761,
fanghua lin,China,nyu,C Only,man,asian,noturm,moreri,professor,moresecure,math,6552,
zhiquin lu,China,university of california irvine,C Only,man,asian,noturm,moreri,professor,moresecure,math,502,
george lusztig,Hungary,massachusetts institute of technology,C Only,man,white,noturm,moreri,professor,moresecure,math,9303,
fedor malikov,Russia,university of southern california,C Only,man,white,noturm,moreri,professor,moresecure,math,356,
eugenia malinnikova,Russia,stanford university,C Only,woman,white,noturm,moreri,professor,moresecure,math,116,
peter may,,university of chicago,C Only,man,white,noturm,moreri,professor,moresecure,math,4507,
barry mazur,,harvard university,C Only,man,white,noturm,moreri,professor,moresecure,math,4442,
david mclaughlin,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,940,
marie louise michelson,,stony brook university,C Only,woman,white,noturm,moreri,professor,moresecure,math,1256,
john millson,,university of maryland,C Only,man,white,noturm,moreri,professor,moresecure,math,1295,
yair minsky,,yale university,C Only,man,NA,NA,moreri,professor,moresecure,math,1720,
sophie morel,,princeton university,C Only,woman,white,noturm,moreri,professor,moresecure,math,54,
aaron naber,,northwestern university,C Only,man,white,noturm,moreri,professor,moresecure,math,353,
charles newman,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,2284,
hee oh,Korea,yale university,C Only,woman,asian,noturm,moreri,professor,moresecure,math,671,
janos pach,Hungary,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,3481,
raman parimala,,emory university,C Only,woman,asian,noturm,moreri,professor,moresecure,math,693,
mihnea popa,Romania,northwestern university,C Only,man,white,noturm,moreri,professor,moresecure,math,645,
alexander razborov,Russia,university of chicago,C Only,man,white,noturm,moreri,professor,moresecure,math,1505,Yes
xiaochun rong,China,rutgers university,C Only,man,asian,noturm,moreri,professor,moresecure,math,350,
peter sarnak,,princeton university,C Only,man,white,noturm,moreri,professor,moresecure,math,5456,
sylvia serfaty,,new york university,C Only,woman,white,noturm,moreri,professor,moresecure,math,1774,
jalal shatah,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,3211,
steve shkoller,Russia,university of california davis,C Only,man,white,noturm,moreri,professor,moresecure,math,1602,
thomas spencer,,institute for advanced study,C Only,man,white,noturm,moreri,professor,moresecure,math,1353,
jeffrey streets,,university of california irvine,C Only,man,white,noturm,moreri,professor,moresecure,math,330,
gabor szekelyhidi,Hungary,notre dame,C Only,man,white,noturm,moreri,professor,moresecure,math,522,
leon takhtajan,Russia,stony brook university,C Only,man,middleeast,noturm,moreri,professor,moresecure,math,1923,
michael taylor,,university of north carolina,C Only,man,white,noturm,moreri,professor,moresecure,math,5805,
chuu lian terng,China,university of california irvine,C Only,woman,asian,noturm,moreri,professor,moresecure,math,1158,
craig tracy,,university of california davis,C Only,man,white,noturm,moreri,professor,moresecure,math,2134,
yuri tschinkel,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,1301,
srsrinivsa varadhan,,new york university,C Only,man,asian,noturm,moreri,professor,moresecure,math,4875,
dan virgil voiculescu,Romania,university of california berkeley,C Only,man,white,noturm,moreri,professor,moresecure,math,4540,
wei min wang,China,nyu shanghai,C Only,woman,asian,noturm,moreri,professor,moresecure,math,432,
guofang wei,China,university of california santa barbara,C Only,woman,asian,noturm,moreri,professor,moresecure,math,698,
paul yang,China,princeton university,C Only,man,asian,noturm,moreri,professor,moresecure,math,2456,
guoliang yu,China,texas am university,C Only,man,asian,noturm,moreri,professor,moresecure,math,1208,
efim zelmanov,Russia,university of california san diego,C Only,man,white,noturm,moreri,professor,moresecure,math,1694,Yes
christopher croke,,university of pennsylvania,C Only,man,white,noturm,moreri,retired,moresecure,math,880,
vaughan f r jones,,university of california berkeley,C Only,man,white,noturm,moreri,retired,moresecure,math,3289,Yes
jerry kazdan,,university of pennsylvania,C Only,man,white,noturm,moreri,retired,moresecure,math,1058,
irwin kra,,stony brook university,C Only,man,white,noturm,moreri,retired,moresecure,math,1493,
francois ledrappier,,university of notre dame,C Only,man,white,noturm,moreri,retired,moresecure,math,1724,
anthony phillips,,stony brook university,C Only,man,white,noturm,moreri,retired,moresecure,math,96,
richard schoen,,stanford,C Only,man,white,noturm,moreri,retired,moresecure,math,6811,
peter shalen,,university of illinois at chicago,C Only,man,white,noturm,moreri,retired,moresecure,math,2036,
daniel stroock,,massachusetts institute of technology,C Only,man,white,noturm,moreri,retired,moresecure,math,5102,
