name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
ben ford,sonoma state university,244,7,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
hanna bennett,university of michigan,,,2009,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
kelly bubp,ohio university,,,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
nicole m joseph,vanderbilt university,170,7,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
emek kose,st marys college of maryland,38,3,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
stefanie d livers,missouri state university,96,96,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
aliza steurer,dominican university,,,2006,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
tim hsu,san jose state university,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
elizabeth beer,ida center for computing analysis,,,2009,A Only,woman,nothighered,,,,,,,,FALSE,,FALSE
katie waddle,san francisco state university,,,,A Only,woman,highered,domesticother,lessri,,,,math,mathstat,FALSE,,FALSE
jeremy f strayer,middle tennessee state university,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
nickolas a castro,university of arkansas,,,2016,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
abeer hasan,humboldt state university,13,2,2013,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
ernesto d calleros,university of california san diego,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
amanda ruiz,university of san diego,32,3,2013,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
edward welsh,westfield state university,,,2003,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
topaz wiscons,california state university sacramento,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
jaco stroebel,university of pretoria,,,,A Only,man,highered,international,moreri,south africa,,,math,mathstat,FALSE,,FALSE
francis su,harvey mudd college,1964,17,1995,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
chiheon kim,kakao brain,35,3,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
vanessa rivera quiä_ä__ones,university of illinois,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
cheryl grood,swarthmore college,,,1998,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
megan e sawyer,southern new hampshire university,,,2013,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
jennifer v jones,fairleigh dickinson university,,,,A Only,woman,,domesticother,lessri,,,,,,FALSE,,FALSE
rachel weir,allegheny college,,,2001,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
nina fefferman,university of tennessee,1963,19,,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
amber verser,bowling green state university,,,,A Only,woman,highered,domesticr2,lessri,,grad,lesssecure,other,other ,FALSE,,FALSE
frederick peck,university of montana,266,9,2015,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
paul salomon,john burroughs school,,,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
aram dermenjian,york university,,,,A Only,man,highered,international,moreri,canada,grad,lesssecure,math,mathstat,FALSE,,FALSE
noah weiss,university of wisconsin eau claire,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
jasmine foo,university of minnesota,2268,22,2008,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,157,FALSE
makeda brome,fort pierce westwood high school,,,,A Only,woman,nothighered,,,,,,,,FALSE,,FALSE
jonathan k hodge,grand valley state university,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
joshua holden,rose hulman institute of technology,,,1998,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
maria basterra,university of new hampshire,344,8,1998,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,122,FALSE
bill rosenthal,city university of new york,,,,A Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,0,FALSE
erica r miller,virginia commonwealth university,,,2018,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
stuart boersma,central washington university,,,1994,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
julie seitz,youngstown state university,,,,A Only,woman,highered,domesticother,lessri,,staff,lesssecure,math,mathstat,FALSE,,FALSE
eileen murray,montclair state university,96,6,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
sharona krinsky,california state university los angeles,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
brooke shipley,university of illinois at chicago,3242,23,1995,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1290,FALSE
kyle ferendo,brown university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
jordan kostiuk,brown university,,,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
philip hotchkiss,westfield state university,,,1994,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
anita o'mellan,youngstown state university,,,1993,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
matilde marcolli,california institute of technology,3812,32,1997,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1061,FALSE
omayra ortega,sonoma state university,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
scott beaver,western oregon university,,,2004,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
rebecca segal,virginia commonwealth university,600,12,2001,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
jennifer a wolfe,university of arizona,,,2016,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,mathed,mathed,FALSE,,FALSE
mark w ellis,california state university fullerton,548,11,2005,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
steven greenstein,montclair state university,48,4,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
cynthia flores,california state university channel islands,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
alejandra rincä_ä__n hidalgo,ictp,,,,A Only,woman,highered,international,moreri,italy,ntt,lesssecure,math,mathstat,FALSE,,FALSE
stephanie baker,university of texas at austin,,,2016,A Only,woman,highered,domesticr1,moreri,,staff,lesssecure,mathed,mathed,FALSE,,FALSE
rami grossberg,carnegie mellon university,1039,18,1986,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,371,FALSE
john f gibson,university of new hampshire,2465,14,1971,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
alissa crans,loyola marymount university,769,11,2004,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
j toufic chahin,university of texas at austin,,,2006,A Only,man,highered,domesticr1,moreri,,grad,,mathed,mathed,FALSE,,FALSE
nitsa movshovitz hadar,technion israel institute of technology,1182,17,1975,A Only,woman,highered,international,moreri,israel,retired,moresecure,math,mathstat,FALSE,,FALSE
mary k porter,saint marys college of indiana,,,1996,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
allison henrich,seattle university,228,9,2008,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
ranjan rohatgi,saint marys college of indiana,,,2016,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
tarik aougab,haverford college,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
julianne vega,university of kentucky,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
selenne baä_ä__uelos,california state university channel islands,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
david neel,seattle university,,,2002,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
calvin jongsma,dordt university,,,1982,A Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
jonathan dunbar,st norbert college,,,2011,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
anne catlla,wofford college,,,2005,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
christopher miles,new york university,17,3,2018,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
ellen veomett,saint marys college of california,,,2007,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
emma gargroetzi,stanford university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,mathed,mathed,FALSE,,FALSE
mark beering,el sausal middle school,,,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
monica l miles,cornell university,,,,A Only,woman,highered,domesticr1,moreri,,,,other,other ,FALSE,,FALSE
anurag katyal,palm beach state college,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
lee worden,university of california san francisco,280,10,2003,A Only,man,highered,domesticr1,moreri,,,,other,other ,FALSE,,FALSE
virgil u pierce,university of northern colorado,,,2004,A Only,man,highered,domesticother,lessri,,staff,lesssecure,math,mathstat,FALSE,,FALSE
carrie muir,whatcom community college,,,,A Only,woman,highered,domesticother,lessri,,,,math,mathstat,FALSE,,FALSE
aditya p adiredja,university of arizona,44,5,2014,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
simon kelly,santa clara university,,,,A Only,man,,,,,,,,,FALSE,,FALSE
immanuel williams,cal poly san luis obispo,,,,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,stat,mathstat,FALSE,,FALSE
alexander s moore,virginia tech,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,mathed,mathed,FALSE,,FALSE
julian f fleron,westfield state university,,,1994,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
gage martin,boston college,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
gabriela hamerlinck,university of florida,70,3,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,other,other ,FALSE,,FALSE
jieun seong,georgia institute of technology,,,,A Only,,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
fany salazar,university of arizona,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
hassan rafique,university of iowa,56,3,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
jill bigley dunham,chapman university,91,2,2009,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
sonja petrovic,illinois institute of technology,535,12,2008,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
moshe cohen,suny new paltz,124,5,2010,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
christina eubanks turner,loyola marymount university,,,,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
stephanie chang,GoDaddy,,,,A Only,woman,nothighered,,,,,,,,FALSE,,FALSE
rafael monteiro,advanced institute for materials research,24,4,2015,A Only,man,highered,international,moreri,japan,,,math,mathstat,FALSE,,FALSE
elisa celis,yale university,,,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,stat,mathstat,FALSE,,FALSE
maarten mckubre jordens,university of canterbury,60,4,2010,A Only,man,highered,international,moreri,new zealand,ntt,lesssecure,other,other ,FALSE,,FALSE
elizabeth niese,marshall university,20,3,2010,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
keith m jones,suny oneonta,,,1970,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
dany waller,morehead state university,,,,A Only,woman,nothighered,,,,,,,,FALSE,,FALSE
juan villeta garcia,emory university,,,2017,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
diana davis,swarthmore college,90,5,2013,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
sarah k salmon,university of colorado,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
joshua cooper,university of south carolina,800,12,2003,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,272,FALSE
rebecca garcia,sam houston state university,,,2009,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
christopher marcotte,university of exeter,,,1993,A Only,man,highered,international,moreri,united kingdom,ntt,lesssecure,math,mathstat,FALSE,,FALSE
andrea young,ripon college,,,2008,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
jennifer schaefer,dickinson college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
russell brown,university of kentucky,1449,22,1987,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,698,FALSE
sean sather wagstaff,clemson university,1075,19,2000,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,538,FALSE
julie rana,lawrence university,,,2014,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
soledad villar,new york university,232,7,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,stat,mathstat,FALSE,,FALSE
brittney miller,coe college,,,2016,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
kristin kuter,saint marys college of indiana,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
sarah wright,fitchburg state university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
benjamin cote,western oregon university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
alexander rasmussen,yale university,,,2015,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
jean philippe chasse,university of montreal,,,,A Only,man,highered,international,moreri,canada,grad,lesssecure,math,mathstat,FALSE,,FALSE
jonathan beardsley,georgia institute of technology,38,4,2016,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
taylor e martin,sam houston state university,,,2013,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
peter kagey,university of southern california,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
crystal clough,university of cincinnati,,,2009,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
yang xiao,brown university,,,2013,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
aisha mechery,bryn mawr college,,,,A Only,woman,highered,domesticother,lessri,,undergrad,lesssecure,math,mathstat,FALSE,,FALSE
isaac sundberg,bryn mawr college,,,,A Only,man,highered,domesticother,lessri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
eileen melville,clemson university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
jeremy f alm,lamar university,,,2006,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
hillary einziger,university of cincinnati,,,2010,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
kayden mimmack,university of california davis,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
ricardo cortez,tulane university,3325,23,1995,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,635,FALSE
derek l smith,,,,1999,A Only,man,,,,,,,,,FALSE,,FALSE
carmen caprau,california state university fresno,,,2007,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
mitch haeuser,iowa state university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
benjamin levitt,triinstitutional mdphd program,,,2006,A Only,man,highered,domesticother,lessri,,staff,lesssecure,stat,mathstat,FALSE,,FALSE
jennifer kenkel,university of kentucky,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
sean raleigh,westminster college utah,,,2010,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
jan cameron,vassar college,,,2009,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
jonathan alcaraz,university of california riverside,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
abba gumel,arizona state university,4880,37,1994,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,851,FALSE
stephan sturm,worcester polytechnic institute,172,6,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
lisa demeyer,central michigan university,,,2000,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
sarah a nelson,lenoirrhyne university,,,2009,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
megan breit goodwin,anokaramsey community college,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
john nardini,north carolina state university,61,4,2018,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
wendy m smith,university of nebraska,,,2000,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
jim hartman,college of wooster,,,,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
areeba ikram,colorado school of mines,,,2018,A Only,woman,highered,domesticr2,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
alexis byers,youngstown state university,,,2018,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
lindsey bosko dunbar,st norbert college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
bianca viray,university of washington,,,2010,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
adam castillo,florida international university,,,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
rodrigo gutierrez,university of arizona,6,2,,A Only,man,highered,domesticr1,moreri,,,,math,mathstat,FALSE,,FALSE
christina edholm,scripps college,124,5,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
carter johnson,university of california davis,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
ellen gasparovic,union college,,,2012,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
gabriel dorfsman hopkins,university of california berkeley,,,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
"eric ""rico"" gutstein",university of illinois at chicago,3603,22,2012,A Only,man,highered,domesticr1,moreri,,professor,moresecure,mathed,mathed,FALSE,,FALSE
klaus volpert,villanova university,,,1989,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
vitaly lorman,university of rochester,,,2016,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
kathryn link,university of utah,73,5,2004,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
matthias kawski,arizona state university,1585,19,1986,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,223,FALSE
tony samuel,university of birmingham,,,,A Only,man,highered,international,moreri,united kingdom,ntt,lesssecure,math,mathstat,FALSE,,FALSE
cathery yeh,chapman university,236,5,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
ana rita pires,university of edinburgh,,,2010,A Only,woman,highered,international,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
axel brandt,northern kentucky university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
ihsan topaloglu,virginia commonwealth university,238,7,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
audrey malagon,virginia wesleyan university,,,2009,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
john rock,cal poly pomona,,,2007,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
jeffrey x watt,indiana u purdue u indianapolis,,,1989,A Only,man,highered,domesticr1,moreri,,professor,moresecure,mathed,mathed,FALSE,,FALSE
kayla gibson,university of iowa,,,,A Only,woman,highered,domesticr1,moreri,,undergrad,lesssecure,math,mathstat,FALSE,,FALSE
anila yadavalli,university of minnesota,,,2019,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
michael ruddy,max planck institute for mathematics in the sciences,,,2019,A Only,man,highered,international,moreri,germany,ntt,lesssecure,math,mathstat,FALSE,,FALSE
nathan ryan,bucknell university,125,6,2004,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
bruce reznick,university of illinois,2891,24,1976,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,836,FALSE
marcella gomez,university of california santa cruz,161,6,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
lori ziegelmeier,macalester college,,,2013,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
katie ansaldi,wabash college,,,2016,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
heather zinn brooks,university of california los angeles,25,3,2018,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
timothy j huber,university of texas rio grande valley,,,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
adam avilez,mesa community college,,,,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
johnny guzman,brown university,1815,25,2005,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
breeanne swart,the citadel,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
ricela feliciano semidei,northern illinois university,,,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
richard mcgehee,university of minnesota,,,1969,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,473,FALSE
asamoah nkwanta,morgan state university,211,8,1997,A Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
douglas norton,villanova university,,,1989,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
gloria mari beffa,university of wisconsin,,,1991,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,299,FALSE
jianzhong su,university of texas at arlington,,,1990,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,2,FALSE
megan cream,lehigh university,,,2015,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
keivan hassani monfared,university of calgary,41,3,2014,A Only,man,highered,international,moreri,canada,ntt,lesssecure,math,mathstat,FALSE,,FALSE
jenny switkes,cal poly pomona,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
christopher tweddle,governors state university,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
berit givens,cal poly pomona,,,2003,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
john h johnson jr,ohio state university,36,5,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
matt davis,muskingum university,,,2010,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
rodrigo trevino,university of maryland,104,5,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
marie snipes,kenyon college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
william malone,temecula valley unified school district,,,2010,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
melissa sutherland,suny geneseo,578,14,1998,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
rose uscanga,oklahoma state university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
diane henderson,pennsylvania state university,,,1990,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,150,FALSE
victor ocasio gonzalez,university of puerto rico,,,2014,A Only,man,highered,domesticr2,lessri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
megan selbach allen,stanford university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,,,FALSE,,FALSE
cvetelina hill,georgia institute of technology,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
dustin ross,san francisco state university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
juan b gutierrez,university of texas at san antonio,912,14,2009,A Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
semra kilic bahi,colby sawyer college,53,4,1994,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
kate poirier,city university of new york,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
justin r peters,iowa state university,,,,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,303,FALSE
brian birgen,wartburg college,,,1997,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
kyle besing,kentucky wesleyan college,,,2015,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
hong qin,university of tennessee at chattanooga,,,2002,A Only,man,highered,domesticother,lessri,,associate,moresecure,comp,other ,FALSE,,FALSE
