,name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
49,priscilla bremser,middlebury college,71.0,4.0,1984.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
50,melanie pivarski,roosevelt university,,,2006.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
51,robert davis,colgate university,,,2015.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
52,amy wehe,fitchburg state university,,,2005.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
53,margaret morrow,suny plattsburgh,,,1994.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
54,mark branson,stevenson university,,,2010.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
55,stephanie salomone,university of portland,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
56,gabriel sosa castillo,colgate university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
57,jennifer danae berg,fitchburg state university,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
58,iian smythe,rutgers university,,,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
59,federico ardila,san francisco state university,1204.0,19.0,2003.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,True,,False
60,erica shannon,pierce college,,,2016.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
61,susan d'agostino,,,,2003.0,A Only,woman,nothighered,,,,,,,,False,,False
62,everett howe,,852.0,16.0,1993.0,A Only,man,nothighered,,,,,,,,False,,False
63,carol schumacher,kenyon college,,,1989.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
64,kathi crow,salem state university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
65,shelby m scott,university of tennessee,4.0,1.0,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,other,other ,False,,False
66,robin t wilson,cal poly pomona,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
67,anthony bonato,ryerson university,2031.0,20.0,1998.0,A Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,False,,False
68,kelly black,university of georgia,,,1992.0,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
69,dylan poulsen,washington college,58.0,5.0,2015.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
70,marissa kawehi loving,georgia institute of technology,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
71,nina white,university of michigan,46.0,4.0,2012.0,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
72,robert w vallin,lamar university,166.0,6.0,1991.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
73,yemeen ayub,george mason university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
74,rebecca rg,george mason university,,,2016.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
75,ami radunskaya,pomona college,1999.0,14.0,1992.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,True,,False
76,bruce yoshiwara,los angeles pierce college,,,1988.0,A Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,False,,False
77,henry adams,colorado state university,653.0,12.0,2013.0,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
78,jacqueline a hall,longwood university,,,,A Only,woman,highered,domesticother,lessri,,retired,moresecure,math,mathstat,False,,False
79,therese shelton,southwestern university,,,1987.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
80,joe moeller,university of california riverside,19.0,3.0,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
81,erika roldan,ohio state university,5.0,1.0,2018.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
82,diego a robayo bargans,universidad de los andes,,,,A Only,man,highered,international,moreri,colombia,,,math,mathstat,False,,False
83,david murrugarra,university of kentucky,320.0,9.0,2012.0,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
84,amy parrott,university of wisconsin oshkosh,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
85,marla williams,university of nebraska,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
86,alison lynch,california state university monterey bay,57.0,3.0,2015.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
87,edgar fuller,florida international university,,,,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,5.0,False
88,sarah griffith,brown university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
89,kathryn leonard,occidental college,428.0,6.0,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,comp,other ,False,,False
90,kate owens,college of charleston,5.0,2.0,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
91,kay kirkpatrick,university of illinois,340.0,8.0,2007.0,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,False,,False
92,tyler chen,university of washington,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
93,sara l uckelman,durham university,277.0,11.0,,A Only,woman,highered,international,moreri,united kingdom,assistant,lesssecure,other,other ,False,,False
94,emerald stacy,washington college,,,2018.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
95,christopher duffy,university of saskatchewan,31.0,3.0,2015.0,A Only,man,highered,international,moreri,canada,assistant,lesssecure,math,mathstat,False,,False
96,sang il oum,institute for basic science kaist,1899.0,19.0,2005.0,A Only,man,highered,international,moreri,,professor,moresecure,math,mathstat,False,,False
97,christopher yakes,salem state university,,,2005.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
98,gulden karakok,university of northern colorado,,,2009.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
99,timothy e goldberg,lenoirrhyne university,,,1984.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
100,erin meger,ryerson university,,,2008.0,A Only,woman,highered,international,moreri,canada,grad,lesssecure,math,mathstat,False,,False
101,emily winn,brown university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
102,christopher hanusa,queens college of cuny,216.0,9.0,2005.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
103,volker ecke,westfield state university,,,2003.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
104,matthew g jones,california state university dominguez hills,36.0,3.0,2005.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
105,jen mei chang,california state university long beach,401.0,12.0,2008.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
106,natalia garcia colin,sociedad matematica mexicana,38.0,4.0,,A Only,woman,highered,international,moreri,mexico,,,,,False,,False
107,matthew cathey,wofford college,,,2006.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
108,david desjardins,mit corporation,,,,A Only,man,nothighered,,,,,,,,False,,False
109,erin wolf chambers,saint louis university,,,,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,comp,other ,False,,False
110,lior pachter,california institute of technology,67694.0,65.0,1999.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,False,,False
111,jessalyn bolkema,harvey mudd college,9.0,1.0,2018.0,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
112,amy velchoff,texas state university,,,,A Only,woman,highered,domesticr2,lessri,,ntt,lesssecure,math,mathstat,False,,False
113,milos savic,university of oklahoma,118.0,7.0,2012.0,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
114,darren glass,gettysburg college,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
115,justin lanier,georgia institute of technology,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
116,cynthia wyels,california state university channel islands,,,1994.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
117,emilie hancock,central washington university,,,2018.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
118,brandy s wiegers,central washington university,46.0,3.0,2008.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
119,andrew bernoff,harvey mudd college,2118.0,27.0,2011.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
120,blake farman,lafayette college,3.0,1.0,2018.0,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
121,jessie oehrlein,columbia university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
122,m drew lamar,college of william and mary,352.0,9.0,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,other,other ,False,,False
123,sue vanhattum,contra costa college,,,,A Only,woman,highered,domesticother,lessri,,,,math,mathstat,False,,False
124,vicki lynn holmes,hope college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,mathed,mathed,False,,False
125,phong le,goucher college,,,2009.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
126,robert t jantzen,villanova university,2439.0,27.0,1978.0,A Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,False,,False
127,suzanne sindi,university of california merced,845.0,13.0,2006.0,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
128,elizabeth kersey,university of northern colorado,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,mathed,mathed,False,,False
129,neha gupta,georgia institute of technology,,,2012.0,A Only,woman,highered,domesticr1,moreri,,,,math,mathstat,False,,False
130,danielle champney,cal poly san luis obispo,,,2013.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
131,jonas d'andrea,westminster college utah,,,2008.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
132,janine wittwer,westminster college utah,,,2000.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
133,carolyn james,university of portland,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
134,john zobitz,augsburg university,413.0,8.0,2007.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
135,christine von renesse,westfield state university,,,2007.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
136,andrew schaffner,cal poly san luis obispo,1662.0,11.0,,A Only,man,highered,domesticother,lessri,,professor,moresecure,stat,mathstat,False,,False
137,mario banuelos,california state university fresno,49.0,4.0,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
138,vikram kamat,villanova university,,,2011.0,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
139,matthew ando,university of illinois,996.0,16.0,1992.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,301.0,False
140,renzo cavalieri,colorado state university,,,2005.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,204.0,False
141,hannah highlander,university of portland,178.0,6.0,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
142,yan zhuang,davidson college,,,2018.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
143,nicholas battista,college of new jersey,87.0,6.0,2017.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
144,anne m ho,university of tennessee,5.0,1.0,2015.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,0.0,False
145,matthias beck,san francisco state university,2606.0,26.0,2000.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
146,aaron weinberg,ithaca college,660.0,10.0,2005.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,mathed,mathed,False,,False
147,malena espanol,arizona state university,180.0,5.0,2009.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
148,alexander halperin,salisbury university,,,2014.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
149,bradley elliott,emory university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
150,jonathan j white,coe college,,,2002.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
151,peter chi,villanova university,,,2013.0,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
152,jess ellis hagman,colorado state university,385.0,10.0,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
153,christopher r lee,university of portland,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
154,peter muller,villanova university,,,2014.0,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
155,amzi jeffs,university of washington,35.0,4.0,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
156,sarah bryant,dickinson college,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
157,rachel skipper,ohio state university,10.0,1.0,2018.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
158,chloe urbanski wawrzyniak,rutgers university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
159,cory colbert,washington and lee university,,,2017.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
160,eduardo dueez,university of texas at san antonio,216.0,8.0,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
161,susan goldstine,st marys college of maryland,,,1998.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
162,martha shott,sonoma state university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
163,maddie schroth glanz,cal poly san luis obispo,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,stat,mathstat,False,,False
164,lorraine franco,gwinnett county public schools,,,,A Only,woman,nothighered,,,,,,,,False,,False
165,matthew k voigt,university of california san diego,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,mathed,mathed,False,,False
166,michael t schultz,utah state university,,,2002.0,A Only,man,highered,domesticr2,lessri,,grad,lesssecure,math,mathstat,False,,False
167,corrine yap,rutgers university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
168,andrä_ä__s r vindas melä_ä__ndez,university of kentucky,4.0,1.0,1986.0,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
169,lily khadjavi,loyola marymount university,,,1999.0,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
170,rebecca swanson,colorado school of mines,67.0,2.0,2010.0,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,False,,False
171,erin r moss,millersville university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,mathed,mathed,False,,False
172,jaclyn anderson,university of nebraska omaha,,,2006.0,A Only,woman,,domesticr2,lessri,,ntt,lesssecure,math,mathstat,False,,False
173,ziva myer,duke university,,,2017.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
174,meredith sargent,university of arkansas,,,2018.0,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
175,rebecca santorella,brown university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
176,elizabeth gross,university of hawaii at manoa,336.0,12.0,2013.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,stat,mathstat,False,,False
177,rachel vale,portland state university,,,,A Only,woman,highered,domesticr2,lessri,,ntt,lesssecure,math,mathstat,False,,False
178,leonardo javier rodriguez gutierrez,university of illinois,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
179,erin angelini,university of washington,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
180,marta civil,university of arizona,,,1990.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,,False
181,emilie wiesner,ithaca college,368.0,10.0,2005.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
182,xiao xiao,utica college,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
183,michael vischak,kinkaid school,,,,A Only,man,nothighered,,,,,,,,False,,False
184,k g valente,colgate university,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
185,martha precup,washington university in st louis,,,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
186,christian jah,university of goettingen,21.0,3.0,,A Only,man,highered,international,moreri,germany,,,math,mathstat,False,,False
187,cristina runnalls,cal poly pomona,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,mathed,mathed,False,,False
188,andrea arauza rivera,california state university east bay,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
