,name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
334,jacqueline jensen vallin,lamar university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
335,alice mark,vanderbilt university,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
336,brittany stephenson,lewis university,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
337,thomas goodwillie,brown university,,,1982.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,True,679.0,False
338,gail tang,university of la verne,43.0,4.0,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
339,shahriar shahriari,pomona college,155.0,8.0,1986.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
340,ben ford,sonoma state university,244.0,7.0,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
341,hanna bennett,university of michigan,,,2009.0,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
342,kelly bubp,ohio university,,,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
343,nicole m joseph,vanderbilt university,170.0,7.0,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,mathed,mathed,False,,False
344,emek kose,st marys college of maryland,38.0,3.0,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
345,stefanie d livers,missouri state university,96.0,96.0,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,mathed,mathed,False,,False
346,aliza steurer,dominican university,,,2006.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
347,tim hsu,san jose state university,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
348,elizabeth beer,ida center for computing analysis,,,2009.0,A Only,woman,nothighered,,,,,,,,False,,False
349,katie waddle,san francisco state university,,,,A Only,woman,highered,domesticother,lessri,,,,math,mathstat,False,,False
350,jeremy f strayer,middle tennessee state university,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
351,nickolas a castro,university of arkansas,,,2016.0,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
352,abeer hasan,humboldt state university,13.0,2.0,2013.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
353,ernesto d calleros,university of california san diego,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
354,amanda ruiz,university of san diego,32.0,3.0,2013.0,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
355,edward welsh,westfield state university,,,2003.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
356,topaz wiscons,california state university sacramento,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
357,jaco stroebel,university of pretoria,,,,A Only,man,highered,international,moreri,south africa,,,math,mathstat,False,,False
358,francis su,harvey mudd college,1964.0,17.0,1995.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
359,chiheon kim,kakao brain,35.0,3.0,,A Only,man,nothighered,,,,,,,,False,,False
360,vanessa rivera quiä_ä__ones,university of illinois,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
361,cheryl grood,swarthmore college,,,1998.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
362,megan e sawyer,southern new hampshire university,,,2013.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
363,jennifer v jones,fairleigh dickinson university,,,,A Only,woman,,domesticother,lessri,,,,,,False,,False
364,rachel weir,allegheny college,,,2001.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
365,nina fefferman,university of tennessee,1963.0,19.0,,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,other,other ,False,,False
366,amber verser,bowling green state university,,,,A Only,woman,highered,domesticr2,lessri,,grad,lesssecure,other,other ,False,,False
367,frederick peck,university of montana,266.0,9.0,2015.0,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
368,paul salomon,john burroughs school,,,,A Only,man,nothighered,,,,,,,,False,,False
369,aram dermenjian,york university,,,,A Only,man,highered,international,moreri,canada,grad,lesssecure,math,mathstat,False,,False
370,noah weiss,university of wisconsin eau claire,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
371,jasmine foo,university of minnesota,2268.0,22.0,2008.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,157.0,False
372,makeda brome,fort pierce westwood high school,,,,A Only,woman,nothighered,,,,,,,,False,,False
373,jonathan k hodge,grand valley state university,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
374,joshua holden,rose hulman institute of technology,,,1998.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
375,maria basterra,university of new hampshire,344.0,8.0,1998.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,122.0,False
376,bill rosenthal,city university of new york,,,,A Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,False,0.0,False
377,erica r miller,virginia commonwealth university,,,2018.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
378,stuart boersma,central washington university,,,1994.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
379,julie seitz,youngstown state university,,,,A Only,woman,highered,domesticother,lessri,,staff,lesssecure,math,mathstat,False,,False
380,eileen murray,montclair state university,96.0,6.0,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,mathed,mathed,False,,False
381,sharona krinsky,california state university los angeles,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
382,brooke shipley,university of illinois at chicago,3242.0,23.0,1995.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,True,1290.0,False
383,kyle ferendo,brown university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
384,jordan kostiuk,brown university,,,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
385,philip hotchkiss,westfield state university,,,1994.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
386,anita o'mellan,youngstown state university,,,1993.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
387,matilde marcolli,california institute of technology,3812.0,32.0,1997.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,1061.0,False
388,omayra ortega,sonoma state university,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
389,scott beaver,western oregon university,,,2004.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
390,rebecca segal,virginia commonwealth university,600.0,12.0,2001.0,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,False,,False
391,jennifer a wolfe,university of arizona,,,2016.0,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,mathed,mathed,False,,False
392,mark w ellis,california state university fullerton,548.0,11.0,2005.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
393,steven greenstein,montclair state university,48.0,4.0,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
394,cynthia flores,california state university channel islands,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
395,alejandra rincä_ä__n hidalgo,ictp,,,,A Only,woman,highered,international,moreri,italy,ntt,lesssecure,math,mathstat,False,,False
396,stephanie baker,university of texas at austin,,,2016.0,A Only,woman,highered,domesticr1,moreri,,staff,lesssecure,mathed,mathed,False,,False
397,rami grossberg,carnegie mellon university,1039.0,18.0,1986.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,371.0,False
398,john f gibson,university of new hampshire,2465.0,14.0,1971.0,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,False,,False
399,alissa crans,loyola marymount university,769.0,11.0,2004.0,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,False,,False
400,j toufic chahin,university of texas at austin,,,2006.0,A Only,man,highered,domesticr1,moreri,,grad,,mathed,mathed,False,,False
401,nitsa movshovitz hadar,technion israel institute of technology,1182.0,17.0,1975.0,A Only,woman,highered,international,moreri,israel,retired,moresecure,math,mathstat,False,,False
402,mary k porter,saint marys college of indiana,,,1996.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
403,allison henrich,seattle university,228.0,9.0,2008.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
404,ranjan rohatgi,saint marys college of indiana,,,2016.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
405,tarik aougab,haverford college,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
406,julianne vega,university of kentucky,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
407,selenne baä_ä__uelos,california state university channel islands,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
408,david neel,seattle university,,,2002.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
409,calvin jongsma,dordt university,,,1982.0,A Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,False,,False
410,jonathan dunbar,st norbert college,,,2011.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
411,anne catlla,wofford college,,,2005.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
412,christopher miles,new york university,17.0,3.0,2018.0,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
413,ellen veomett,saint marys college of california,,,2007.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
414,emma gargroetzi,stanford university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,mathed,mathed,False,,False
415,mark beering,el sausal middle school,,,,A Only,man,nothighered,,,,,,,,False,,False
416,monica l miles,cornell university,,,,A Only,woman,highered,domesticr1,moreri,,,,other,other ,False,,False
417,anurag katyal,palm beach state college,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
418,lee worden,university of california san francisco,280.0,10.0,2003.0,A Only,man,highered,domesticr1,moreri,,,,other,other ,False,,False
419,virgil u pierce,university of northern colorado,,,2004.0,A Only,man,highered,domesticother,lessri,,staff,lesssecure,math,mathstat,False,,False
420,carrie muir,whatcom community college,,,,A Only,woman,highered,domesticother,lessri,,,,math,mathstat,False,,False
421,aditya p adiredja,university of arizona,44.0,5.0,2014.0,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,mathed,mathed,False,,False
422,simon kelly,santa clara university,,,,A Only,man,,,,,,,,,False,,False
423,immanuel williams,cal poly san luis obispo,,,,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,stat,mathstat,False,,False
424,alexander s moore,virginia tech,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,mathed,mathed,False,,False
425,julian f fleron,westfield state university,,,1994.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
426,gage martin,boston college,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
427,gabriela hamerlinck,university of florida,70.0,3.0,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,other,other ,False,,False
428,jieun seong,georgia institute of technology,,,,A Only,,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
429,fany salazar,university of arizona,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
430,hassan rafique,university of iowa,56.0,3.0,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
431,jill bigley dunham,chapman university,91.0,2.0,2009.0,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
432,sonja petrovic,illinois institute of technology,535.0,12.0,2008.0,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
433,moshe cohen,suny new paltz,124.0,5.0,2010.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
434,christina eubanks turner,loyola marymount university,,,,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
435,stephanie chang,GoDaddy,,,,A Only,woman,nothighered,,,,,,,,False,,False
436,rafael monteiro,advanced institute for materials research,24.0,4.0,2015.0,A Only,man,highered,international,moreri,japan,,,math,mathstat,False,,False
437,elisa celis,yale university,,,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,stat,mathstat,False,,False
438,maarten mckubre jordens,university of canterbury,60.0,4.0,2010.0,A Only,man,highered,international,moreri,new zealand,ntt,lesssecure,other,other ,False,,False
439,elizabeth niese,marshall university,20.0,3.0,2010.0,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
440,keith m jones,suny oneonta,,,1970.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
441,dany waller,morehead state university,,,,A Only,woman,nothighered,,,,,,,,False,,False
442,juan villeta garcia,emory university,,,2017.0,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
443,diana davis,swarthmore college,90.0,5.0,2013.0,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
444,sarah k salmon,university of colorado,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
445,joshua cooper,university of south carolina,800.0,12.0,2003.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,272.0,False
446,rebecca garcia,sam houston state university,,,2009.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
447,christopher marcotte,university of exeter,,,1993.0,A Only,man,highered,international,moreri,united kingdom,ntt,lesssecure,math,mathstat,False,,False
448,andrea young,ripon college,,,2008.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
449,jennifer schaefer,dickinson college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
450,russell brown,university of kentucky,1449.0,22.0,1987.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,698.0,False
451,sean sather wagstaff,clemson university,1075.0,19.0,2000.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,538.0,False
452,julie rana,lawrence university,,,2014.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
453,soledad villar,new york university,232.0,7.0,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,stat,mathstat,False,,False
454,brittney miller,coe college,,,2016.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
455,kristin kuter,saint marys college of indiana,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
456,sarah wright,fitchburg state university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
457,benjamin cote,western oregon university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
458,alexander rasmussen,yale university,,,2015.0,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
459,jean philippe chasse,university of montreal,,,,A Only,man,highered,international,moreri,canada,grad,lesssecure,math,mathstat,False,,False
460,jonathan beardsley,georgia institute of technology,38.0,4.0,2016.0,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
461,taylor e martin,sam houston state university,,,2013.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
462,peter kagey,university of southern california,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
463,crystal clough,university of cincinnati,,,2009.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
464,yang xiao,brown university,,,2013.0,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
465,aisha mechery,bryn mawr college,,,,A Only,woman,highered,domesticother,lessri,,undergrad,lesssecure,math,mathstat,False,,False
466,isaac sundberg,bryn mawr college,,,,A Only,man,highered,domesticother,lessri,,grad,lesssecure,math,mathstat,False,,False
467,eileen melville,clemson university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
468,jeremy f alm,lamar university,,,2006.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
469,hillary einziger,university of cincinnati,,,2010.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
470,kayden mimmack,university of california davis,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
471,ricardo cortez,tulane university,3325.0,23.0,1995.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,635.0,False
472,derek l smith,,,,1999.0,A Only,man,,,,,,,,,False,,False
473,carmen caprau,california state university fresno,,,2007.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
474,mitch haeuser,iowa state university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
475,benjamin levitt,triinstitutional mdphd program,,,2006.0,A Only,man,highered,domesticother,lessri,,staff,lesssecure,stat,mathstat,False,,False
476,jennifer kenkel,university of kentucky,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
477,sean raleigh,westminster college utah,,,2010.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
478,jan cameron,vassar college,,,2009.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
479,jonathan alcaraz,university of california riverside,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
480,abba gumel,arizona state university,4880.0,37.0,1994.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,851.0,False
481,stephan sturm,worcester polytechnic institute,172.0,6.0,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
482,lisa demeyer,central michigan university,,,2000.0,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,False,,False
483,sarah a nelson,lenoirrhyne university,,,2009.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
484,megan breit goodwin,anokaramsey community college,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
485,john nardini,north carolina state university,61.0,4.0,2018.0,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
486,wendy m smith,university of nebraska,,,2000.0,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,False,,False
487,jim hartman,college of wooster,,,,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
488,areeba ikram,colorado school of mines,,,2018.0,A Only,woman,highered,domesticr2,lessri,,ntt,lesssecure,math,mathstat,False,,False
489,alexis byers,youngstown state university,,,2018.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
490,lindsey bosko dunbar,st norbert college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
491,bianca viray,university of washington,,,2010.0,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,False,,False
492,adam castillo,florida international university,,,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
493,rodrigo gutierrez,university of arizona,6.0,2.0,,A Only,man,highered,domesticr1,moreri,,,,math,mathstat,False,,False
494,christina edholm,scripps college,124.0,5.0,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
495,carter johnson,university of california davis,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
496,ellen gasparovic,union college,,,2012.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
497,gabriel dorfsman hopkins,university of california berkeley,,,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
498,"eric ""rico"" gutstein",university of illinois at chicago,3603.0,22.0,2012.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,mathed,mathed,False,,False
499,klaus volpert,villanova university,,,1989.0,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
500,vitaly lorman,university of rochester,,,2016.0,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
501,kathryn link,university of utah,73.0,5.0,2004.0,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
502,matthias kawski,arizona state university,1585.0,19.0,1986.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,223.0,False
503,tony samuel,university of birmingham,,,,A Only,man,highered,international,moreri,united kingdom,ntt,lesssecure,math,mathstat,False,,False
504,cathery yeh,chapman university,236.0,5.0,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,mathed,mathed,False,,False
505,ana rita pires,university of edinburgh,,,2010.0,A Only,woman,highered,international,moreri,,assistant,lesssecure,math,mathstat,False,,False
506,axel brandt,northern kentucky university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
507,ihsan topaloglu,virginia commonwealth university,238.0,7.0,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
508,audrey malagon,virginia wesleyan university,,,2009.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
509,john rock,cal poly pomona,,,2007.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
510,jeffrey x watt,indiana u purdue u indianapolis,,,1989.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,,False
511,kayla gibson,university of iowa,,,,A Only,woman,highered,domesticr1,moreri,,undergrad,lesssecure,math,mathstat,False,,False
512,anila yadavalli,university of minnesota,,,2019.0,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,False,,False
513,michael ruddy,max planck institute for mathematics in the sciences,,,2019.0,A Only,man,highered,international,moreri,germany,ntt,lesssecure,math,mathstat,False,,False
514,nathan ryan,bucknell university,125.0,6.0,2004.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
515,bruce reznick,university of illinois,2891.0,24.0,1976.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,True,836.0,False
516,marcella gomez,university of california santa cruz,161.0,6.0,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
517,lori ziegelmeier,macalester college,,,2013.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
518,katie ansaldi,wabash college,,,2016.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
519,heather zinn brooks,university of california los angeles,25.0,3.0,2018.0,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
520,timothy j huber,university of texas rio grande valley,,,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
521,adam avilez,mesa community college,,,,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
522,johnny guzman,brown university,1815.0,25.0,2005.0,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,False,,False
523,breeanne swart,the citadel,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
524,ricela feliciano semidei,northern illinois university,,,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,mathed,mathed,False,,False
525,richard mcgehee,university of minnesota,,,1969.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,473.0,False
526,asamoah nkwanta,morgan state university,211.0,8.0,1997.0,A Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,False,,False
527,douglas norton,villanova university,,,1989.0,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
528,gloria mari beffa,university of wisconsin,,,1991.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,299.0,False
529,jianzhong su,university of texas at arlington,,,1990.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,2.0,False
530,megan cream,lehigh university,,,2015.0,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,False,,False
531,keivan hassani monfared,university of calgary,41.0,3.0,2014.0,A Only,man,highered,international,moreri,canada,ntt,lesssecure,math,mathstat,False,,False
532,jenny switkes,cal poly pomona,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
533,christopher tweddle,governors state university,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
534,berit givens,cal poly pomona,,,2003.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
535,john h johnson jr,ohio state university,36.0,5.0,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
536,matt davis,muskingum university,,,2010.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
537,rodrigo trevino,university of maryland,104.0,5.0,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,False,,False
538,marie snipes,kenyon college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
539,william malone,temecula valley unified school district,,,2010.0,A Only,man,nothighered,,,,,,,,False,,False
540,melissa sutherland,suny geneseo,578.0,14.0,1998.0,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
541,rose uscanga,oklahoma state university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
542,diane henderson,pennsylvania state university,,,1990.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,150.0,False
543,victor ocasio gonzalez,university of puerto rico,,,2014.0,A Only,man,highered,domesticr2,lessri,,grad,lesssecure,math,mathstat,False,,False
544,megan selbach allen,stanford university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,,,False,,False
545,cvetelina hill,georgia institute of technology,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
546,dustin ross,san francisco state university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
547,juan b gutierrez,university of texas at san antonio,912.0,14.0,2009.0,A Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,False,,False
548,semra kilic bahi,colby sawyer college,53.0,4.0,1994.0,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
549,kate poirier,city university of new york,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
550,justin r peters,iowa state university,,,,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,303.0,False
551,brian birgen,wartburg college,,,1997.0,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
552,kyle besing,kentucky wesleyan college,,,2015.0,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
